name,username,password,email
Alice,alice,Ali01!Pass,alice@example.com
Bob,bob,Bob02!Pass,bob@example.com
Charles,charles,Cha03!Pass,charles@example.com
David,david,Dav04!Pass,david@example.com
Edwin,edwin,Edw05!Pass,edwin@example.com
Francis,francis,Fra06!Pass,francis@example.com
Gokul,gokul,Gok07!Pass,gokul@example.com
Harini,harini,Har08!Pass,harini@example.com
Isha,isha,Ish09!Pass,isha@example.com
Janani,janani,Jan10!Pass,janani@example.com
Kevin,kevin,Kev11!Pass,kevin@example.com
Lenin,lenin,Len12!Pass,lenin@example.com
Manish,manish,Man13!Pass,manish@example.com
Nirmala,nirmala,Nir14!Pass,nirmala@example.com
Oviya,oviya,Ovi15!Pass,oviya@example.com
Paul,paul,Pau16!Pass,paul@example.com
Queen,queen,Que17!Pass,queen@example.com
Ravi,ravi,Rav18!Pass,ravi@example.com
Smith,smith,Smi19!Pass,smith@example.com
Thames,thames,Tha20!Pass,thames@example.com
