customer_id,first_name,last_name,date_of_birth,signup_date
1,Ravi,Kumar,1990-05-15,2022-01-01
2,Alex,Smith,1970-01-01,2020-01-01
3,Emily,Doe,2010-05-30,2024-05-30
4,Alex,Johnson,1990-03-20,2021-02-15
5,Chris,Smith,2000-04-25,2020-01-01
6,John,Smith,1990-03-20,2022-03-20
7,Chris,Brown,2000-04-25,2023-04-25
8,Jane,Johnson,2000-04-25,2022-03-20
9,Emily,Brown,1990-03-20,2024-05-30
10,Emily,Johnson,2010-05-30,2023-04-25
11,John,Smith,1990-03-20,2023-04-25
12,Chris,Doe,2010-05-30,2022-03-20
13,Chris,Johnson,2000-04-25,2022-03-20
14,Jane,Brown,1980-02-15,2024-05-30
15,Emily,Doe,2010-05-30,2020-01-01
16,John,Smith,1990-03-20,2020-01-01
17,Chris,Johnson,2000-04-25,2020-01-01
18,Jane,Smith,2000-04-25,2022-03-20
19,John,Smith,2010-05-30,2024-05-30
20,Chris,Johnson,2000-04-25,2024-05-30
21,John,Smith,1980-02-15,2022-03-20
22,Emily,Johnson,2010-05-30,2022-03-20
23,Alex,Smith,1980-02-15,2023-04-25
24,Jane,Smith,2000-04-25,2020-01-01
25,Chris,Doe,1990-03-20,2023-04-25
26,Chris,Johnson,1990-03-20,2020-01-01
27,Jane,Smith,1990-03-20,2022-03-20
28,Emily,Johnson,2010-05-30,2022-03-20
29,Emily,Brown,2000-04-25,2020-01-01
30,Emily,Brown,2010-05-30,2022-03-20
31,Alex,Doe,1980-02-15,2021-02-15
32,Emily,Johnson,1990-03-20,2024-05-30
33,Chris,Johnson,1970-01-01,2023-04-25
34,Emily,Johnson,1990-03-20,2024-05-30
35,Chris,Doe,2010-05-30,2024-05-30
36,Chris,Brown,2010-05-30,2023-04-25
37,Chris,Smith,2000-04-25,2022-03-20
38,Emily,Smith,2010-05-30,2021-02-15
39,Jane,Johnson,1980-02-15,2024-05-30
40,Emily,Brown,2010-05-30,2024-05-30
41,Alex,Johnson,1990-03-20,2020-01-01
42,Jane,Doe,2000-04-25,2021-02-15
43,Emily,Doe,1980-02-15,2020-01-01
44,John,Smith,1990-03-20,2021-02-15
45,Jane,Doe,2000-04-25,2021-02-15
46,Chris,Brown,2010-05-30,2023-04-25
47,Jane,Wilson,1980-02-15,2024-05-30
48,Emily,Johnson,1990-03-20,2020-01-01
49,Jane,Johnson,1980-02-15,2021-02-15
50,John,Brown,2010-05-30,2020-01-01
51,Alex,Brown,1990-03-20,2021-02-15
52,John,Brown,1970-01-01,2023-04-25
53,Emily,Brown,2010-05-30,2020-01-01
54,Jane,Smith,2000-04-25,2023-04-25
55,Alex,Smith,2010-05-30,2022-03-20
56,Emily,Brown,2010-05-30,2020-01-01
57,Emily,Smith,1970-01-01,2023-04-25
58,Alex,Johnson,1980-02-15,2021-02-15
59,Chris,Johnson,2000-04-25,2024-05-30
60,Jane,Johnson,1980-02-15,2021-02-15
61,John,Doe,1980-02-15,2021-02-15
62,Alex,Johnson,2010-05-30,2022-03-20
63,Jane,Doe,1990-03-20,2023-04-25
64,Alex,Wilson,1980-02-15,2021-02-15
65,Jane,Wilson,1980-02-15,2024-05-30
66,Emily,Brown,2000-04-25,2021-02-15
67,Emily,Smith,1980-02-15,2022-03-20
68,Emily,Doe,1970-01-01,2020-01-01
69,John,Smith,1990-03-20,2020-01-01
70,Jane,Johnson,2000-04-25,2023-04-25
71,Jane,Brown,1980-02-15,2021-02-15
72,Emily,Johnson,1970-01-01,2023-04-25
73,Chris,Johnson,1990-03-20,2022-03-20
74,Alex,Smith,2010-05-30,2020-01-01
75,John,Brown,2000-04-25,2024-05-30
76,John,Wilson,2010-05-30,2023-04-25
77,Chris,Johnson,1970-01-01,2020-01-01
78,Chris,Wilson,1990-03-20,2021-02-15
79,Emily,Smith,1970-01-01,2024-05-30
80,Jane,Wilson,1980-02-15,2021-02-15
81,Jane,Smith,1970-01-01,2021-02-15
82,Jane,Smith,1970-01-01,2020-01-01
83,John,Johnson,1990-03-20,2021-02-15
84,Jane,Wilson,2000-04-25,2022-03-20
85,John,Smith,1980-02-15,2024-05-30
86,Chris,Johnson,1990-03-20,2024-05-30
87,Emily,Smith,2010-05-30,2020-01-01
88,Jane,Doe,2000-04-25,2023-04-25
89,John,Johnson,2010-05-30,2020-01-01
90,Emily,Johnson,1990-03-20,2022-03-20
91,Alex,Brown,1970-01-01,2021-02-15
92,John,Wilson,1990-03-20,2021-02-15
93,Chris,Johnson,2000-04-25,2020-01-01
94,Emily,Wilson,2000-04-25,2023-04-25
95,Alex,Brown,2010-05-30,2021-02-15
96,Emily,Smith,2010-05-30,2023-04-25
97,John,Brown,1970-01-01,2024-05-30
98,John,Johnson,1970-01-01,2020-01-01
99,Jane,Smith,1980-02-15,2022-03-20
100,Emily,Brown,1990-03-20,2023-04-25
101,Chris,Johnson,2000-04-25,2022-03-20
102,Emily,Smith,1970-01-01,2022-03-20
103,Alex,Doe,2010-05-30,2020-01-01
104,Emily,Smith,2000-04-25,2022-03-20
105,John,Smith,2010-05-30,2023-04-25
106,Chris,Johnson,2010-05-30,2020-01-01
107,Chris,Wilson,2000-04-25,2021-02-15
108,Jane,Smith,2010-05-30,2024-05-30
109,Jane,Brown,2000-04-25,2020-01-01
110,Chris,Brown,2010-05-30,2023-04-25
111,Alex,Brown,1990-03-20,2023-04-25
112,Emily,Smith,1990-03-20,2024-05-30
113,Emily,Doe,1970-01-01,2020-01-01
114,Alex,Wilson,1970-01-01,2022-03-20
115,John,Doe,1970-01-01,2024-05-30
116,Emily,Brown,1990-03-20,2021-02-15
117,John,Brown,1970-01-01,2022-03-20
118,John,Smith,2010-05-30,2024-05-30
119,Jane,Smith,2000-04-25,2022-03-20
120,Alex,Doe,1970-01-01,2020-01-01
121,Emily,Wilson,1970-01-01,2024-05-30
122,John,Doe,1980-02-15,2024-05-30
123,John,Doe,2010-05-30,2024-05-30
124,Alex,Brown,1990-03-20,2020-01-01
125,Jane,Smith,1980-02-15,2024-05-30
126,John,Smith,2000-04-25,2024-05-30
127,John,Doe,1990-03-20,2024-05-30
128,Emily,Brown,1980-02-15,2024-05-30
129,Chris,Doe,2010-05-30,2022-03-20
130,Chris,Wilson,1970-01-01,2023-04-25
131,Emily,Wilson,2010-05-30,2021-02-15
132,Chris,Wilson,1970-01-01,2020-01-01
133,Jane,Smith,1970-01-01,2020-01-01
134,John,Wilson,1980-02-15,2022-03-20
135,Alex,Smith,1970-01-01,2020-01-01
136,Alex,Doe,1990-03-20,2023-04-25
137,Jane,Wilson,2010-05-30,2022-03-20
138,Chris,Doe,2000-04-25,2022-03-20
139,Alex,Johnson,1980-02-15,2023-04-25
140,Chris,Johnson,2010-05-30,2022-03-20
141,Emily,Smith,1970-01-01,2020-01-01
142,Chris,Wilson,1980-02-15,2022-03-20
143,Jane,Smith,1980-02-15,2022-03-20
144,Alex,Smith,2010-05-30,2023-04-25
145,Alex,Doe,2000-04-25,2023-04-25
146,Alex,Doe,1980-02-15,2021-02-15
147,Emily,Wilson,1970-01-01,2021-02-15
148,Chris,Smith,2000-04-25,2023-04-25
149,John,Johnson,2000-04-25,2022-03-20
150,Chris,Wilson,1980-02-15,2020-01-01
151,Chris,Wilson,1970-01-01,2023-04-25
152,Chris,Wilson,1990-03-20,2021-02-15
153,Alex,Smith,1980-02-15,2023-04-25
154,Emily,Smith,2000-04-25,2023-04-25
155,Jane,Brown,1980-02-15,2023-04-25
156,Jane,Smith,2000-04-25,2021-02-15
157,Alex,Johnson,2010-05-30,2024-05-30
158,John,Smith,1990-03-20,2023-04-25
159,John,Brown,2010-05-30,2022-03-20
160,John,Smith,2000-04-25,2020-01-01
161,Chris,Doe,1970-01-01,2020-01-01
162,Emily,Wilson,2010-05-30,2020-01-01
163,Chris,Brown,1990-03-20,2023-04-25
164,Jane,Smith,1980-02-15,2020-01-01
165,Alex,Smith,2010-05-30,2024-05-30
166,Alex,Brown,1980-02-15,2022-03-20
167,Emily,Doe,1980-02-15,2022-03-20
168,Emily,Smith,2010-05-30,2020-01-01
169,Chris,Johnson,2000-04-25,2020-01-01
170,Jane,Wilson,2000-04-25,2023-04-25
171,Chris,Wilson,1970-01-01,2022-03-20
172,John,Brown,2010-05-30,2024-05-30
173,Jane,Doe,1980-02-15,2023-04-25
174,John,Brown,2010-05-30,2024-05-30
175,Emily,Wilson,1990-03-20,2022-03-20
176,John,Johnson,1990-03-20,2022-03-20
177,John,Doe,2010-05-30,2023-04-25
178,Alex,Smith,1970-01-01,2023-04-25
179,Alex,Smith,2000-04-25,2023-04-25
180,Emily,Johnson,2010-05-30,2021-02-15
181,Jane,Smith,1990-03-20,2021-02-15
182,Chris,Johnson,1970-01-01,2022-03-20
183,Alex,Brown,1980-02-15,2020-01-01
184,Alex,Smith,1970-01-01,2023-04-25
185,Alex,Wilson,1980-02-15,2020-01-01
186,Alex,Brown,2000-04-25,2024-05-30
187,Alex,Johnson,1990-03-20,2020-01-01
188,John,Brown,1980-02-15,2020-01-01
189,Jane,Johnson,1970-01-01,2020-01-01
190,Chris,Johnson,2000-04-25,2020-01-01
191,John,Smith,1980-02-15,2021-02-15
192,John,Doe,1970-01-01,2021-02-15
193,Chris,Wilson,1990-03-20,2020-01-01
194,Chris,Doe,1990-03-20,2022-03-20
195,John,Wilson,1970-01-01,2020-01-01
196,Emily,Johnson,2000-04-25,2021-02-15
197,John,Johnson,2000-04-25,2021-02-15
198,John,Doe,1970-01-01,2024-05-30
199,Emily,Johnson,2000-04-25,2022-03-20
200,Jane,Wilson,2000-04-25,2020-01-01
201,Emily,Wilson,2010-05-30,2022-03-20
202,John,Brown,2010-05-30,2023-04-25
203,Emily,Johnson,1990-03-20,2024-05-30
204,John,Smith,2000-04-25,2023-04-25
205,Jane,Doe,2010-05-30,2024-05-30
206,John,Wilson,2010-05-30,2021-02-15
207,Alex,Wilson,2000-04-25,2021-02-15
208,John,Johnson,2010-05-30,2020-01-01
209,Jane,Wilson,2010-05-30,2022-03-20
210,Alex,Doe,2010-05-30,2020-01-01
211,Jane,Smith,1990-03-20,2024-05-30
212,Alex,Wilson,1980-02-15,2023-04-25
213,Emily,Doe,1980-02-15,2020-01-01
214,Emily,Brown,2000-04-25,2024-05-30
215,Alex,Johnson,2000-04-25,2022-03-20
216,Alex,Doe,1970-01-01,2024-05-30
217,Jane,Brown,2000-04-25,2023-04-25
218,Jane,Johnson,1990-03-20,2022-03-20
219,Emily,Brown,2000-04-25,2020-01-01
220,Jane,Wilson,1970-01-01,2022-03-20
221,Emily,Johnson,2010-05-30,2024-05-30
222,John,Smith,1970-01-01,2024-05-30
223,Alex,Doe,1990-03-20,2022-03-20
224,Alex,Wilson,1990-03-20,2023-04-25
225,Chris,Smith,1990-03-20,2024-05-30
226,John,Doe,2000-04-25,2021-02-15
227,Alex,Doe,1990-03-20,2020-01-01
228,Emily,Johnson,1980-02-15,2020-01-01
229,Chris,Doe,1970-01-01,2024-05-30
230,Alex,Wilson,2010-05-30,2024-05-30
231,Chris,Smith,1990-03-20,2020-01-01
232,John,Doe,1990-03-20,2023-04-25
233,Alex,Wilson,1990-03-20,2022-03-20
234,Jane,Wilson,2010-05-30,2021-02-15
235,Jane,Brown,2000-04-25,2022-03-20
236,Chris,Johnson,2000-04-25,2024-05-30
237,Emily,Wilson,1980-02-15,2022-03-20
238,Alex,Doe,1970-01-01,2021-02-15
239,Jane,Johnson,1990-03-20,2020-01-01
240,Chris,Smith,1990-03-20,2022-03-20
241,John,Johnson,1990-03-20,2021-02-15
242,Emily,Doe,2000-04-25,2022-03-20
243,Jane,Brown,1970-01-01,2020-01-01
244,Alex,Johnson,2000-04-25,2020-01-01
245,John,Johnson,2000-04-25,2023-04-25
246,Chris,Smith,2010-05-30,2022-03-20
247,Alex,Brown,1990-03-20,2021-02-15
248,Alex,Johnson,2000-04-25,2022-03-20
249,John,Doe,1970-01-01,2024-05-30
250,Jane,Johnson,1970-01-01,2024-05-30
251,Jane,Doe,1970-01-01,2020-01-01
252,Emily,Doe,2000-04-25,2023-04-25
253,Jane,Johnson,2010-05-30,2022-03-20
254,Emily,Doe,1970-01-01,2021-02-15
255,Alex,Wilson,1980-02-15,2021-02-15
256,Alex,Doe,1990-03-20,2022-03-20
257,Emily,Wilson,1970-01-01,2022-03-20
258,Emily,Doe,1980-02-15,2024-05-30
259,Chris,Wilson,2010-05-30,2023-04-25
260,Alex,Smith,1980-02-15,2022-03-20
261,Alex,Wilson,2010-05-30,2024-05-30
262,Chris,Johnson,1970-01-01,2021-02-15
263,John,Doe,1980-02-15,2023-04-25
264,Alex,Wilson,1990-03-20,2021-02-15
265,John,Doe,2000-04-25,2023-04-25
266,Chris,Smith,2000-04-25,2024-05-30
267,Alex,Doe,1990-03-20,2022-03-20
268,Jane,Smith,1970-01-01,2021-02-15
269,John,Wilson,1970-01-01,2024-05-30
270,Chris,Wilson,2000-04-25,2022-03-20
271,Emily,Smith,1990-03-20,2020-01-01
272,Alex,Brown,1970-01-01,2020-01-01
273,Alex,Brown,2000-04-25,2023-04-25
274,Chris,Johnson,1990-03-20,2021-02-15
275,Jane,Doe,2000-04-25,2024-05-30
276,John,Smith,1970-01-01,2024-05-30
277,John,Wilson,2010-05-30,2024-05-30
278,Jane,Doe,2000-04-25,2022-03-20
279,Emily,Smith,2010-05-30,2024-05-30
280,Jane,Smith,1970-01-01,2022-03-20
281,Alex,Brown,1980-02-15,2020-01-01
282,Chris,Wilson,1970-01-01,2021-02-15
283,Jane,Brown,1980-02-15,2023-04-25
284,Alex,Johnson,1970-01-01,2023-04-25
285,Jane,Doe,2010-05-30,2021-02-15
286,Jane,Doe,1970-01-01,2023-04-25
287,Chris,Brown,1990-03-20,2023-04-25
288,Alex,Wilson,1990-03-20,2023-04-25
289,Chris,Smith,1990-03-20,2020-01-01
290,John,Doe,1980-02-15,2023-04-25
291,Chris,Johnson,2000-04-25,2021-02-15
292,John,Johnson,2010-05-30,2022-03-20
293,Emily,Brown,1980-02-15,2023-04-25
294,Emily,Smith,1970-01-01,2023-04-25
295,Chris,Wilson,1990-03-20,2021-02-15
296,Alex,Wilson,2010-05-30,2023-04-25
297,Chris,Brown,2000-04-25,2021-02-15
298,Jane,Wilson,2000-04-25,2022-03-20
299,Alex,Brown,1970-01-01,2020-01-01
300,Alex,Johnson,2000-04-25,2023-04-25
301,Emily,Brown,1990-03-20,2021-02-15
302,Jane,Smith,2000-04-25,2024-05-30
303,John,Johnson,1980-02-15,2022-03-20
304,Chris,Johnson,2000-04-25,2021-02-15
305,John,Johnson,1990-03-20,2024-05-30
306,Chris,Brown,1970-01-01,2020-01-01
307,John,Brown,1970-01-01,2024-05-30
308,Emily,Johnson,1970-01-01,2022-03-20
309,Jane,Doe,1970-01-01,2022-03-20
310,John,Brown,1990-03-20,2021-02-15
311,Jane,Brown,1980-02-15,2021-02-15
312,Alex,Brown,1980-02-15,2021-02-15
313,Jane,Smith,1970-01-01,2023-04-25
314,Jane,Doe,1990-03-20,2020-01-01
315,Jane,Wilson,2010-05-30,2023-04-25
316,John,Johnson,1990-03-20,2022-03-20
317,Jane,Brown,1990-03-20,2022-03-20
318,Emily,Smith,2000-04-25,2021-02-15
319,Emily,Johnson,1980-02-15,2021-02-15
320,Emily,Wilson,1970-01-01,2021-02-15
321,Alex,Brown,1980-02-15,2020-01-01
322,Alex,Johnson,2000-04-25,2024-05-30
323,Alex,Johnson,2000-04-25,2021-02-15
324,John,Wilson,1980-02-15,2021-02-15
325,Chris,Doe,2000-04-25,2020-01-01
326,Jane,Brown,1990-03-20,2020-01-01
327,Jane,Smith,2010-05-30,2020-01-01
328,Alex,Johnson,1980-02-15,2024-05-30
329,Emily,Smith,2000-04-25,2020-01-01
330,John,Doe,1970-01-01,2023-04-25
331,Alex,Brown,2000-04-25,2021-02-15
332,Alex,Brown,1970-01-01,2021-02-15
333,Alex,Brown,2010-05-30,2021-02-15
334,Chris,Smith,1970-01-01,2022-03-20
335,Alex,Doe,1980-02-15,2022-03-20
336,Emily,Brown,2000-04-25,2020-01-01
337,Jane,Johnson,2000-04-25,2023-04-25
